time,wx,wy,wz,yaw,pitch,roll
2024-10-14T10:25:43.090Z,-0.3992,-0.1176,0.0626,0.1946,0.7905,-0.0185
2024-10-14T10:25:43.100Z,-0.2884,-0.2256,0.0703,0.1946,0.7905,-0.0185
2024-10-14T10:25:43.110Z,-0.2687,-0.2999,0.0170,0.1955,0.7864,-0.0230
2024-10-14T10:25:43.120Z,-0.3853,-0.2647,0.0574,0.1965,0.7806,-0.0276
2024-10-14T10:25:43.130Z,-0.5029,-0.2130,0.1073,0.1965,0.7806,-0.0276
2024-10-14T10:25:43.140Z,-0.5028,-0.1555,0.1216,0.1986,0.7729,-0.0317
2024-10-14T10:25:43.150Z,-0.3820,-0.1071,0.0998,0.2004,0.7672,-0.0345
2024-10-14T10:25:43.160Z,-0.2008,-0.0608,0.0746,0.2004,0.7672,-0.0345
2024-10-14T10:25:43.170Z,0.0084,-0.0383,0.0635,0.2018,0.7658,-0.0361
2024-10-14T10:25:43.180Z,0.2098,-0.0324,0.0390,0.2027,0.7688,-0.0372
2024-10-14T10:25:43.190Z,0.3297,-0.0566,0.0137,0.2027,0.7688,-0.0372
2024-10-14T10:25:43.200Z,0.3149,-0.0840,0.0047,0.2031,0.7736,-0.0384
2024-10-14T10:25:43.210Z,0.2032,-0.0979,-0.0148,0.2030,0.7765,-0.0397
2024-10-14T10:25:43.220Z,0.0296,-0.1113,-0.0430,0.2030,0.7765,-0.0397
2024-10-14T10:25:43.230Z,-0.1596,-0.0697,-0.0502,0.2020,0.7756,-0.0402
2024-10-14T10:25:43.240Z,-0.2964,0.0006,-0.0436,0.2008,0.7713,-0.0394
2024-10-14T10:25:43.250Z,-0.3762,0.0293,-0.0348,0.2008,0.7713,-0.0394
2024-10-14T10:25:43.260Z,-0.4124,0.0575,-0.0063,0.2000,0.7654,-0.0382
2024-10-14T10:25:43.271Z,-0.3927,0.0727,0.0165,0.2001,0.7596,-0.0371
2024-10-14T10:25:43.281Z,-0.3080,0.0611,0.0314,0.2001,0.7596,-0.0371
2024-10-14T10:25:43.290Z,-0.1549,0.0515,0.0119,0.2004,0.7561,-0.0364
2024-10-14T10:25:43.300Z,0.0021,0.0668,-0.0256,0.1999,0.7561,-0.0350
2024-10-14T10:25:43.310Z,0.1185,0.0781,-0.0365,0.1999,0.7561,-0.0350
2024-10-14T10:25:43.320Z,0.1703,0.0648,-0.0293,0.1994,0.7583,-0.0334
2024-10-14T10:25:43.331Z,0.1823,0.0358,-0.0241,0.1990,0.7611,-0.0325
2024-10-14T10:25:43.340Z,0.1697,0.0189,-0.0155,0.1990,0.7611,-0.0325
2024-10-14T10:25:43.350Z,0.1357,-0.0100,-0.0164,0.1988,0.7634,-0.0322
2024-10-14T10:25:43.360Z,0.0644,-0.0219,-0.0066,0.1988,0.7643,-0.0324
