time,wx,wy,wz,yaw,pitch,roll
2024-10-14T10:27:44.304Z,0.1086,-0.0302,-0.0019,-0.0777,0.5782,-0.0880
2024-10-14T10:27:44.314Z,-0.0615,0.0650,0.0628,-0.0771,0.5786,-0.0879
2024-10-14T10:27:44.324Z,-0.3008,0.1084,0.1168,-0.0755,0.5742,-0.0871
2024-10-14T10:27:44.334Z,-0.4329,0.1075,0.1239,-0.0755,0.5742,-0.0871
2024-10-14T10:27:44.344Z,-0.4137,0.0503,0.0926,-0.0742,0.5677,-0.0866
2024-10-14T10:27:44.353Z,-0.2896,-0.0503,0.0701,-0.0734,0.5633,-0.0876
2024-10-14T10:27:44.364Z,-0.1367,-0.1389,0.0692,-0.0734,0.5633,-0.0876
2024-10-14T10:27:44.374Z,-0.0135,-0.2001,0.0741,-0.0722,0.5621,-0.0907
2024-10-14T10:27:44.384Z,0.0567,-0.2071,0.0644,-0.0710,0.5628,-0.0943
2024-10-14T10:27:44.394Z,0.1034,-0.1457,0.0653,-0.0710,0.5628,-0.0943
2024-10-14T10:27:44.404Z,0.1297,-0.0129,0.0638,-0.0696,0.5645,-0.0961
2024-10-14T10:27:44.414Z,0.1309,0.0838,0.0519,-0.0685,0.5663,-0.0955
2024-10-14T10:27:44.424Z,0.0950,0.1271,0.0456,-0.0685,0.5663,-0.0955
2024-10-14T10:27:44.434Z,0.0339,0.1606,0.0518,-0.0675,0.5673,-0.0937
2024-10-14T10:27:44.444Z,-0.0615,0.1464,0.0517,-0.0667,0.5662,-0.0918
2024-10-14T10:27:44.454Z,-0.1673,0.1048,0.0315,-0.0667,0.5662,-0.0918
2024-10-14T10:27:44.463Z,-0.2175,0.0724,0.0233,-0.0666,0.5633,-0.0905
2024-10-14T10:27:44.474Z,-0.1845,0.0323,0.0253,-0.0664,0.5607,-0.0900
2024-10-14T10:27:44.484Z,-0.0927,-0.0198,0.0348,-0.0664,0.5607,-0.0900
2024-10-14T10:27:44.495Z,0.0014,-0.0751,0.0326,-0.0658,0.5600,-0.0910
2024-10-14T10:27:44.505Z,0.0620,-0.1224,0.0243,-0.0653,0.5609,-0.0929
2024-10-14T10:27:44.513Z,0.0844,-0.1079,0.0238,-0.0653,0.5609,-0.0929
2024-10-14T10:27:44.524Z,0.0723,-0.0508,0.0227,-0.0647,0.5622,-0.0943
2024-10-14T10:27:44.534Z,0.0537,0.0251,0.0143,-0.0643,0.5630,-0.0940
2024-10-14T10:27:44.544Z,0.0420,0.0955,0.0143,-0.0643,0.5630,-0.0940
2024-10-14T10:27:44.554Z,0.0396,0.1381,0.0166,-0.0640,0.5636,-0.0924
2024-10-14T10:27:44.564Z,0.0271,0.1352,0.0231,-0.0635,0.5640,-0.0905
2024-10-14T10:27:44.574Z,0.0147,0.1139,0.0247,-0.0635,0.5640,-0.0905
2024-10-14T10:27:44.584Z,0.0021,0.0564,0.0095,-0.0632,0.5641,-0.0893
2024-10-14T10:27:44.594Z,-0.0241,0.0036,-0.0063,-0.0634,0.5637,-0.0891
2024-10-14T10:27:44.604Z,-0.0550,-0.0156,-0.0221,-0.0634,0.5637,-0.0891
2024-10-14T10:27:44.614Z,-0.0661,-0.0043,-0.0220,-0.0638,0.5629,-0.0889
2024-10-14T10:27:44.624Z,-0.0691,0.0083,-0.0227,-0.0643,0.5620,-0.0884
2024-10-14T10:27:44.634Z,-0.0636,0.0184,-0.0164,-0.0643,0.5620,-0.0884
2024-10-14T10:27:44.644Z,-0.0540,0.0277,-0.0031,-0.0646,0.5612,-0.0879
2024-10-14T10:27:44.654Z,-0.0327,0.0342,0.0135,-0.0644,0.5606,-0.0874
2024-10-14T10:27:44.664Z,-0.0272,0.0298,0.0307,-0.0644,0.5606,-0.0874
2024-10-14T10:27:44.674Z,-0.0379,0.0330,0.0376,-0.0638,0.5602,-0.0871
2024-10-14T10:27:44.684Z,-0.0604,0.0402,0.0391,-0.0632,0.5592,-0.0867
2024-10-14T10:27:44.694Z,-0.0976,0.0383,0.0294,-0.0632,0.5592,-0.0867
2024-10-14T10:27:44.704Z,-0.1347,0.0326,0.0173,-0.0630,0.5574,-0.0862
2024-10-14T10:27:44.714Z,-0.1551,0.0344,0.0081,-0.0631,0.5551,-0.0856
2024-10-14T10:27:44.724Z,-0.1621,0.0299,0.0088,-0.0631,0.5551,-0.0856
2024-10-14T10:27:44.734Z,-0.1411,0.0279,0.0158,-0.0631,0.5528,-0.0850
2024-10-14T10:27:44.746Z,-0.0909,0.0466,0.0239,-0.0627,0.5515,-0.0844
2024-10-14T10:27:44.754Z,-0.0297,0.0824,0.0396,-0.0627,0.5515,-0.0844
2024-10-14T10:27:44.763Z,0.0127,0.1545,0.0612,-0.0618,0.5514,-0.0830
2024-10-14T10:27:44.774Z,0.0485,0.2471,0.0765,-0.0604,0.5520,-0.0800
2024-10-14T10:27:44.784Z,0.0694,0.3280,0.0846,-0.0604,0.5520,-0.0800
2024-10-14T10:27:44.794Z,0.0914,0.3681,0.0792,-0.0588,0.5532,-0.0756
2024-10-14T10:27:44.804Z,0.1072,0.3378,0.0745,-0.0573,0.5547,-0.0713
2024-10-14T10:27:44.814Z,0.1108,0.2527,0.0816,-0.0573,0.5547,-0.0713
2024-10-14T10:27:44.824Z,0.0955,0.1480,0.0968,-0.0556,0.5561,-0.0692
2024-10-14T10:27:44.834Z,0.0593,0.0490,0.0974,-0.0538,0.5569,-0.0693
2024-10-14T10:27:44.844Z,0.0089,0.0129,0.0905,-0.0538,0.5569,-0.0693
2024-10-14T10:27:44.854Z,-0.0570,-0.0049,0.0979,-0.0521,0.5563,-0.0701
2024-10-14T10:27:44.864Z,-0.1002,-0.0300,0.1142,-0.0502,0.5547,-0.0715
2024-10-14T10:27:44.874Z,-0.1139,-0.0459,0.1248,-0.0502,0.5547,-0.0715
2024-10-14T10:27:44.884Z,-0.0859,-0.0207,0.1058,-0.0482,0.5530,-0.0731
2024-10-14T10:27:44.894Z,-0.0335,0.0400,0.0695,-0.0469,0.5525,-0.0731
2024-10-14T10:27:44.904Z,0.0300,0.1020,0.0609,-0.0469,0.5525,-0.0731
2024-10-14T10:27:44.914Z,0.0808,0.1480,0.0516,-0.0458,0.5532,-0.0718
2024-10-14T10:27:44.924Z,0.1051,0.1808,0.0437,-0.0448,0.5546,-0.0695
2024-10-14T10:27:44.933Z,0.0977,0.2263,0.0458,-0.0448,0.5546,-0.0695
2024-10-14T10:27:44.944Z,0.0565,0.2612,0.0511,-0.0438,0.5557,-0.0664
2024-10-14T10:27:44.953Z,-0.0084,0.2739,0.0600,-0.0427,0.5555,-0.0629
2024-10-14T10:27:44.964Z,-0.0901,0.2689,0.0848,-0.0427,0.5555,-0.0629
2024-10-14T10:27:44.974Z,-0.1642,0.2388,0.1114,-0.0409,0.5535,-0.0602
2024-10-14T10:27:44.984Z,-0.2107,0.2112,0.1260,-0.0388,0.5503,-0.0582
2024-10-14T10:27:44.995Z,-0.2240,0.1838,0.1394,-0.0388,0.5503,-0.0582
2024-10-14T10:27:45.005Z,-0.1913,0.1624,0.1614,-0.0360,0.5471,-0.0575
2024-10-14T10:27:45.014Z,-0.1281,0.1552,0.1849,-0.0327,0.5451,-0.0569
2024-10-14T10:27:45.024Z,-0.0458,0.1954,0.1982,-0.0327,0.5451,-0.0569
2024-10-14T10:27:45.034Z,0.0180,0.2831,0.1770,-0.0292,0.5447,-0.0554
2024-10-14T10:27:45.044Z,0.0604,0.3650,0.1501,-0.0264,0.5455,-0.0515
2024-10-14T10:27:45.054Z,0.0965,0.4041,0.1443,-0.0264,0.5455,-0.0515
2024-10-14T10:27:45.063Z,0.1539,0.3826,0.1578,-0.0236,0.5472,-0.0469
2024-10-14T10:27:45.074Z,0.2306,0.3511,0.1734,-0.0204,0.5506,-0.0432
2024-10-14T10:27:45.084Z,0.3018,0.3090,0.1825,-0.0204,0.5506,-0.0432
2024-10-14T10:27:45.094Z,0.3380,0.2379,0.1947,-0.0169,0.5552,-0.0409
2024-10-14T10:27:45.104Z,0.3267,0.1516,0.2095,-0.0129,0.5600,-0.0406
2024-10-14T10:27:45.114Z,0.2853,0.0758,0.2256,-0.0129,0.5600,-0.0406
2024-10-14T10:27:45.124Z,0.2227,0.0860,0.2543,-0.0085,0.5636,-0.0416
2024-10-14T10:27:45.134Z,0.1484,0.1729,0.2786,-0.0035,0.5657,-0.0416
2024-10-14T10:27:45.144Z,0.0741,0.2895,0.2951,-0.0035,0.5657,-0.0416
2024-10-14T10:27:45.154Z,0.0024,0.3954,0.3134,0.0020,0.5660,-0.0393
2024-10-14T10:27:45.164Z,-0.0322,0.4639,0.3462,0.0080,0.5654,-0.0354
2024-10-14T10:27:45.174Z,-0.0214,0.5131,0.3632,0.0080,0.5654,-0.0354
2024-10-14T10:27:45.184Z,0.0256,0.4920,0.3915,0.0148,0.5653,-0.0314
2024-10-14T10:27:45.195Z,0.0731,0.4381,0.3927,0.0217,0.5662,-0.0285
2024-10-14T10:27:45.204Z,0.0812,0.3769,0.3778,0.0217,0.5662,-0.0285
2024-10-14T10:27:45.214Z,0.0567,0.3438,0.3745,0.0285,0.5671,-0.0266
2024-10-14T10:27:45.225Z,0.0252,0.3334,0.3822,0.0353,0.5673,-0.0252
2024-10-14T10:27:45.234Z,0.0007,0.3021,0.3912,0.0353,0.5673,-0.0252
2024-10-14T10:27:45.245Z,-0.0011,0.2897,0.3969,0.0423,0.5672,-0.0244
2024-10-14T10:27:45.255Z,0.0204,0.3280,0.3866,0.0492,0.5674,-0.0231
2024-10-14T10:27:45.264Z,0.0480,0.3504,0.3775,0.0492,0.5674,-0.0231
2024-10-14T10:27:45.274Z,0.0615,0.3603,0.3726,0.0559,0.5680,-0.0213
2024-10-14T10:27:45.283Z,0.0659,0.3762,0.3777,0.0626,0.5689,-0.0192
2024-10-14T10:27:45.293Z,0.0656,0.3991,0.3825,0.0626,0.5689,-0.0192
2024-10-14T10:27:45.304Z,0.0560,0.3898,0.3718,0.0694,0.5697,-0.0168
2024-10-14T10:27:45.314Z,0.0570,0.3387,0.3731,0.0760,0.5705,-0.0153
2024-10-14T10:27:45.324Z,0.0642,0.2542,0.3828,0.0760,0.5705,-0.0153
2024-10-14T10:27:45.334Z,0.0838,0.1756,0.3992,0.0831,0.5715,-0.0158
2024-10-14T10:27:45.345Z,0.0998,0.1343,0.4102,0.0904,0.5729,-0.0176
2024-10-14T10:27:45.354Z,0.1226,0.1092,0.4105,0.0904,0.5729,-0.0176
2024-10-14T10:27:45.364Z,0.1459,0.1253,0.4084,0.0978,0.5749,-0.0197
2024-10-14T10:27:45.374Z,0.1768,0.1815,0.4107,0.1052,0.5773,-0.0209
2024-10-14T10:27:45.384Z,0.1829,0.2724,0.4210,0.1052,0.5773,-0.0209
2024-10-14T10:27:45.394Z,0.1566,0.3964,0.4407,0.1130,0.5798,-0.0201
2024-10-14T10:27:45.404Z,0.1154,0.4948,0.4488,0.1210,0.5814,-0.0171
2024-10-14T10:27:45.414Z,0.0688,0.5321,0.4473,0.1210,0.5814,-0.0171
2024-10-14T10:27:45.424Z,0.0284,0.5127,0.4270,0.1289,0.5820,-0.0135
2024-10-14T10:27:45.436Z,-0.0040,0.4539,0.4026,0.1362,0.5820,-0.0107
2024-10-14T10:27:45.444Z,-0.0119,0.3546,0.3796,0.1362,0.5820,-0.0107
2024-10-14T10:27:45.454Z,0.0068,0.2512,0.3724,0.1430,0.5819,-0.0097
2024-10-14T10:27:45.464Z,0.0316,0.1827,0.3624,0.1495,0.5822,-0.0104
2024-10-14T10:27:45.474Z,0.0274,0.1557,0.3446,0.1495,0.5822,-0.0104
2024-10-14T10:27:45.484Z,-0.0133,0.2019,0.3357,0.1556,0.5823,-0.0110
2024-10-14T10:27:45.495Z,-0.0798,0.3097,0.3354,0.1616,0.5810,-0.0095
2024-10-14T10:27:45.505Z,-0.1549,0.4492,0.3471,0.1616,0.5810,-0.0095
2024-10-14T10:27:45.514Z,-0.2114,0.5451,0.3519,0.1679,0.5782,-0.0054
2024-10-14T10:27:45.524Z,-0.2265,0.5866,0.3150,0.1735,0.5749,0.0004
2024-10-14T10:27:45.534Z,-0.1804,0.5810,0.2609,0.1735,0.5749,0.0004
2024-10-14T10:27:45.544Z,-0.0824,0.5623,0.2377,0.1779,0.5730,0.0066
2024-10-14T10:27:45.554Z,0.0264,0.5289,0.2229,0.1819,0.5734,0.0124
2024-10-14T10:27:45.564Z,0.1091,0.4771,0.2047,0.1819,0.5734,0.0124
2024-10-14T10:27:45.574Z,0.1382,0.4343,0.1932,0.1855,0.5753,0.0175
2024-10-14T10:27:45.583Z,0.1172,0.4286,0.1953,0.1889,0.5771,0.0221
2024-10-14T10:27:45.594Z,0.0797,0.4372,0.1801,0.1889,0.5771,0.0221
2024-10-14T10:27:45.604Z,0.0261,0.4409,0.1683,0.1920,0.5780,0.0272
2024-10-14T10:27:45.614Z,-0.0304,0.3853,0.1685,0.1950,0.5776,0.0314
2024-10-14T10:27:45.624Z,-0.0952,0.3179,0.1525,0.1950,0.5776,0.0314
2024-10-14T10:27:45.634Z,-0.1519,0.3070,0.1194,0.1975,0.5758,0.0348
2024-10-14T10:27:45.646Z,-0.1938,0.3174,0.1035,0.1995,0.5730,0.0385
