time,yaw,pitch,roll
0.004616975784301758,-10.156,37.732,-0.402
0.013267993927001953,-10.209,37.666,-0.297
0.020961999893188477,-10.228,37.674,-0.223
0.03085803985595703,-10.217,37.729,-0.205
0.04634284973144531,-10.189,37.805,-0.238
0.054733991622924805,-10.153,37.882,-0.306
0.06485509872436523,-10.102,37.945,-0.39
0.07493209838867188,-10.045,37.984,-0.446
0.0851600170135498,-10.004,38.0,-0.439
0.09845113754272461,-9.986,37.998,-0.363
0.10509586334228516,-9.984,37.994,-0.246
0.1152799129486084,-9.984,37.99,-0.114
0.1251230239868164,-9.964,37.971,-0.017
0.1351637840270996,-9.934,37.935,0.023
0.1483159065246582,-9.895,37.891,0.029
0.15517711639404297,-9.85,37.847,0.021
0.16546010971069336,-9.792,37.81,-0.004
0.17519092559814453,-9.717,37.777,-0.063
0.18546581268310547,-9.638,37.761,-0.084
0.19826889038085938,-9.572,37.773,-0.062
0.2051539421081543,-9.523,37.805,-0.047
0.21581602096557617,-9.482,37.84,-0.039
0.22502613067626953,-9.445,37.871,-0.034
0.23470211029052734,-9.42,37.9,-0.025
0.24736404418945312,-9.419,37.932,0.024
0.2552318572998047,-9.438,37.97,0.142
0.2653470039367676,-9.482,38.021,0.332
0.27529287338256836,-9.535,38.088,0.525
0.2854471206665039,-9.58,38.154,0.695
0.2981910705566406,-9.613,38.212,0.852
0.3053109645843506,-9.628,38.27,0.993
0.31539487838745117,-9.625,38.336,1.109
0.32523107528686523,-9.611,38.412,1.187
0.33546996116638184,-9.595,38.484,1.234
0.3478739261627197,-9.584,38.542,1.267
0.35543298721313477,-9.577,38.575,1.294
0.3654439449310303,-9.571,38.586,1.301
0.3753471374511719,-9.566,38.581,1.299
0.38545703887939453,-9.56,38.58,1.326
0.3983039855957031,-9.557,38.597,1.42
0.4051949977874756,-9.563,38.638,1.556
0.41581296920776367,-9.58,38.699,1.714
0.42536401748657227,-9.608,38.784,1.884
0.43562984466552734,-9.647,38.923,2.068
0.44846296310424805,-9.66,39.101,2.236
0.4555320739746094,-9.631,39.214,2.311
0.46552181243896484,-9.603,39.225,2.256
0.4755120277404785,-9.609,39.145,2.126
0.48584413528442383,-9.637,39.016,1.953
0.4985318183898926,-9.657,38.885,1.786
0.5055389404296875,-9.648,38.782,1.691
0.5158138275146484,-9.616,38.726,1.665
0.5256659984588623,-9.574,38.705,1.639
0.5356907844543457,-9.528,38.692,1.541
0.5484309196472168,-9.471,38.677,1.369
0.5555229187011719,-9.404,38.654,1.163
0.5657989978790283,-9.328,38.62,0.95
0.5756919384002686,-9.261,38.59,0.766
0.5858259201049805,-9.217,38.573,0.645
0.5985429286956787,-9.19,38.578,0.58
0.6056880950927734,-9.165,38.604,0.555
0.6158671379089355,-9.142,38.644,0.554
0.6257691383361816,-9.124,38.681,0.54
0.6358509063720703,-9.12,38.699,0.501
0.6483259201049805,-9.127,38.683,0.426
0.6558570861816406,-9.125,38.624,0.309
0.6658978462219238,-9.121,38.526,0.172
0.6758251190185547,-9.134,38.406,0.054
0.6858999729156494,-9.17,38.284,-0.03
0.6983118057250977,-9.221,38.177,-0.08
0.7057828903198242,-9.281,38.1,-0.101
0.7160921096801758,-9.337,38.06,-0.105
0.7253670692443848,-9.388,38.049,-0.081
0.735292911529541,-9.429,38.051,-0.025
0.7462148666381836,-9.455,38.046,0.031
0.7554399967193604,-9.474,38.02,0.066
0.7653169631958008,-9.495,37.974,0.083
0.7756600379943848,-9.518,37.91,0.081
0.7859649658203125,-9.541,37.834,0.067
0.7963259220123291,-9.565,37.746,0.036
0.805311918258667,-9.586,37.651,-0.017
0.8154909610748291,-9.598,37.559,-0.086
0.8253250122070312,-9.6,37.479,-0.149
0.836251974105835,-9.595,37.419,-0.195
