time,yaw,pitch,roll
0.005084991455078125,-8.819,36.506,0.606
0.005980014801025391,-8.815,36.534,0.73
0.015096902847290039,-8.805,36.567,0.848
0.025249958038330078,-8.777,36.581,0.918
0.035060882568359375,-8.729,36.562,0.93
0.047100067138671875,-8.669,36.517,0.886
0.05523204803466797,-8.606,36.469,0.801
0.06529998779296875,-8.539,36.437,0.709
0.07529687881469727,-8.464,36.435,0.636
0.08538389205932617,-8.387,36.459,0.602
0.09812784194946289,-8.314,36.484,0.607
0.10522603988647461,-8.254,36.488,0.623
0.115570068359375,-8.211,36.464,0.614
0.12526893615722656,-8.17,36.416,0.565
0.13550090789794922,-8.117,36.362,0.492
0.14693784713745117,-8.054,36.317,0.43
0.1554279327392578,-7.997,36.287,0.405
0.16565513610839844,-7.949,36.283,0.422
0.17533493041992188,-7.902,36.306,0.464
0.18548011779785156,-7.853,36.348,0.501
0.19814109802246094,-7.8,36.391,0.514
0.2052299976348877,-7.753,36.418,0.509
0.2155609130859375,-7.722,36.42,0.482
0.2252509593963623,-7.697,36.409,0.419
0.23557496070861816,-7.668,36.404,0.323
0.24804306030273438,-7.629,36.422,0.206
0.255511999130249,-7.587,36.464,0.087
0.2655777931213379,-7.556,36.524,0.006
0.2753880023956299,-7.537,36.604,-0.009
0.28561878204345703,-7.522,36.71,0.056
0.2971229553222656,-7.522,36.832,0.181
0.30550193786621094,-7.552,36.95,0.319
0.3157069683074951,-7.615,37.05,0.434
0.32548999786376953,-7.666,37.134,0.491
0.33573102951049805,-7.69,37.195,0.484
0.34824180603027344,-7.682,37.229,0.441
0.3556079864501953,-7.657,37.244,0.393
0.3657398223876953,-7.631,37.255,0.343
0.3754868507385254,-7.614,37.273,0.31
0.3857579231262207,-7.612,37.308,0.308
0.3981471061706543,-7.623,37.36,0.361
0.4055519104003906,-7.648,37.416,0.447
0.41579198837280273,-7.68,37.46,0.511
0.42549991607666016,-7.702,37.49,0.532
0.4358649253845215,-7.699,37.53,0.512
0.4479959011077881,-7.66,37.592,0.465
0.45574188232421875,-7.604,37.672,0.415
0.4657449722290039,-7.563,37.76,0.391
0.4756808280944824,-7.556,37.856,0.428
0.4857749938964844,-7.576,37.964,0.529
0.4984300136566162,-7.609,38.069,0.66
0.5057649612426758,-7.646,38.155,0.789
0.5160198211669922,-7.684,38.211,0.899
0.5257120132446289,-7.711,38.232,0.971
0.5359787940979004,-7.727,38.215,0.994
0.5481429100036621,-7.727,38.176,0.983
0.5557928085327148,-7.696,38.136,0.97
0.5659918785095215,-7.629,38.123,0.971
0.575969934463501,-7.543,38.144,0.998
0.5859229564666748,-7.465,38.168,1.011
0.5983138084411621,-7.421,38.156,0.964
0.60589599609375,-7.415,38.104,0.888
0.6161007881164551,-7.416,38.022,0.817
0.6258320808410645,-7.403,37.943,0.766
0.6360359191894531,-7.388,37.89,0.765
0.6483559608459473,-7.39,37.86,0.818
0.6559770107269287,-7.419,37.842,0.898
0.6659979820251465,-7.457,37.82,0.948
0.6760139465332031,-7.452,37.778,0.916
